Номер заказа;Дата заказа;Название товара;Категория товара;Количество продаж;Цена за единцу;Общая стоимость
1001;19.02.2024;Samsung Galsxy S21;Смартфоны;5;64990;324950
1004;21.02.2024;Sony PlayStation 5;Игровые консоли;3;60990;182970
1003;23.02.2024;Apple AirPods Pro;Аудио;8;28190;225520
1002;25.02.2024;Nikon D850;Фотоаппараты;4;245000;980000
1005;27.02.2024;Dell XPS 13;Ноутбуки;6;49900;299400
1008;29.02.2024;LG Smart TV;Телевизоры;4;89499;357996
1007;02.03.2024;Nike Air Max 90;Обувь;1;13199;13199
1006;04.03.2024;Sony WH-1000XM4;Аудио;7;32990;230930
1009;06.03.2024;Apple MacBook Pro;Ноутбуки;9;86500;778500
1012;08.03.2024;Canon EOS R6;Фотоаппараты;3;239999;719997
1011;10.03.2024;Bose QuietComfort 35;Аудио;6;26990;161940
1010;12.03.2024;Samsung Galsxy Watch 4;Умные часы;2;28999;57998
1013;14.03.2024;Adidas SuperStar;Обувь;4;16499;65996
1016;16.03.2024;Apple iPad Pro;Планшеты;5;147990;739950
1015;18.03.2024;Redmi Note 13;Смартфоны;6;13990;83940
1014;20.03.2024;Sony Alpha A7;Фотоаппараты;3;89700;269100
1017;22.03.2024;Nike Air Force 1;Обувь;7;16899;118293
1020;24.03.2024;Samsung Galaxy Tab S7;Планшеты;4;44999;179996
1019;26.03.2024;HP Spectre x360;Ноутбуки;2;155900;311800
1018;28.03.2024;Canon PowerShot G7;Фотоаппараты;8;89500;716000
